function_id,function,description
PF01,Ingest,"Connect to APIs, databases, files, telemetry, documents and event streams."
PF02,Classify,"Assign source, sensitivity, legal boundary, domain, ontology target and retention class."
PF03,Validate,"Check freshness, completeness, schema compliance, source trust and parser result quality."
PF04,Transform,"Clean, join, normalise, enrich and version source data."
PF05,Resolve entities,"Deduplicate and link people, organisations, assets, places, events and documents."
PF06,Map to ontology,"Convert datasets into object types, properties, links, actions and functions."
PF07,Index,"Project data into search, graph, vector, geospatial and analytical stores."
PF08,Model,"Run forecasts, anomaly detection, risk scoring, classification and simulation."
PF09,Operationalise,"Turn insight into applications, alerts, workflows, cases, tasks and decisions."
PF10,Act,"Execute governed actions, writebacks, notifications and escalations."
PF11,Deploy,"Use Apollo-style deployment to update services, policies, models and applications."
PF12,Secure,"Apply identity, classification, object/property/action policy and redaction."
PF13,Audit,"Record source, lineage, access, decision, approval, model, action and deployment evidence."
PF14,Replay,"Reconstruct what happened, what was known and why a decision occurred."
PF15,Simulate,Branch object state and model possible futures or alternative scenarios.
PF16,Collaborate,"Support secure synchronous workspaces, case notes, annotations and approvals."
PF17,Evaluate AI,"Measure groundedness, citations, policy compliance, action safety and outcome quality."
PF18,Govern,"Manage retention, lineage, quality, legal boundaries, ownership and release controls."
