id,category,asset_name,target_use,status,pbr_required,animation_required,lod_required,deliverable,notes
GLB-001,brain,Central JARVIS morphing neural brain,voice-reactive hero visualiser,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-002,brain,Transparent brain shell,brain glass outer shell,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-003,brain,Neuron node cluster,brain internal nodes,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-004,brain,Synapse arc bundle,brain links and pulses,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-005,brain,Orbiting AI core ring,brain status ring,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-006,brain,Voice mouth/pulse membrane,talking visual morph,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-007,brain,Hologram floor projector,brain base emitter,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-008,brain,Mini JARVIS avatar mark,small floating identity object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-009,map,Holographic globe shell,global/source map panel,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-010,map,Australia/NZ utility map plate,solar/DNSP map overlay,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-011,map,World network mesh,global live data map,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-012,map,Data tower marker set,map data source towers,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-013,map,Animated route arc mesh,data flow routes,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-014,map,Source beacon marker,official/forum/API source points,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-015,map,Risk hotspot marker,critical/conflict map points,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-016,map,Satellite/data feed icon,live feed objects,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-017,map,Holographic compass ring,map navigation control,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-018,infrastructure,Dual RTX 4090 GPU rig,Vast GPU Box panel,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-019,infrastructure,Single RTX 4090 card prop,per GPU detail cards,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-020,infrastructure,Server rack / VPS tower,Hostinger panel,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-021,infrastructure,Hostinger VPS cube,VPS identity object,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-022,infrastructure,Docker container cube cluster,container stats visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-023,infrastructure,Network router node,network IO visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-024,infrastructure,NVMe disk stack,disk usage visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-025,infrastructure,RAM module stack,RAM usage visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-026,infrastructure,CPU chip core,CPU utilisation visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-027,infrastructure,Power meter arc,GPU power draw visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-028,infrastructure,Thermal gauge ring,temperature visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-029,infrastructure,Bandwidth pipe,network flow visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-030,infrastructure,Restart alert beacon,laravel restart loop visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-031,inference,Six-tier inference ladder,Inference Fabric panel,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-032,inference,Tier 0 CPU/rules cube,tier 0 visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-033,inference,Tier 1 micro chip,tier 1 visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-034,inference,Tier 2 base orb,tier 2 visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-035,inference,Tier 3 Qwen tower,tier 3 visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-036,inference,Tier 4 cold 70B vault,tier 4 cold model,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-037,inference,Tier 5 external portal,external model escalation,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-038,inference,Routing switch manifold,model selection visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-039,inference,KV cache ring stack,cache-aware routing visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-040,inference,Model residency chip set,HOT/WARM/COLD/OFF visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-041,inference,Blocked escalation gate,blocked 70B/Qwen call visual,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-042,inference,Validator shield,validation before escalation,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-043,pipeline,API Server node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-044,pipeline,Knowledge Builder node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-045,pipeline,Cross-Correlator node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-046,pipeline,Live Dashboard node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-047,pipeline,Self-Learning Loop node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-048,pipeline,Frontend node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-049,pipeline,GLB Loader node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-050,pipeline,Document Ingestor node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
GLB-051,pipeline,Live Data Producer node,Automation Pipelines table / 3D mini status,required,yes,yes,yes,glb + thumbnail + texture maps + metadata,
