id,phase,area,ticket,definition_of_done,priority
TASK-001,Phase 1,Backend,Create canonical DashboardState schema,/api/dashboard/state returns typed snapshot,P0
TASK-002,Phase 1,Backend,Create PipelineState model,all pipeline rows can render from state,P0
TASK-003,Phase 1,Backend,Implement pipeline control endpoints,toggle/run/pause/stop/rerun work on test workers,P0
TASK-004,Phase 1,Backend,Implement Vast GPU telemetry collector,per GPU and per model process metrics present,P0
TASK-005,Phase 1,Backend,Implement Hostinger telemetry collector,CPU/RAM/disk/load/per-core present,P0
TASK-006,Phase 1,Backend,Implement Docker stats/restart monitor,restart loop detection working,P0
TASK-007,Phase 1,Backend,Add audit log model,every control action logged,P0
TASK-008,Phase 1,Backend,Add SSE/WebSocket stream,UI receives live updates,P0
TASK-009,Phase 1,Backend,Add resource mode engine,normal/busy/degraded/critical computed,P0
TASK-010,Phase 1,Backend,Add safe command guardrails,no destructive command without approval,P0
TASK-011,Phase 2,Frontend,Build app shell and command bar,command bar with global actions,P0
TASK-012,Phase 2,Frontend,Build left sidebar,all nav routes present,P0
TASK-013,Phase 2,Frontend,Build KPI strip,7 KPI cards animated,P0
TASK-014,Phase 2,Frontend,Build Infrastructure panel,GPU+Hostinger live data displayed,P0
TASK-015,Phase 2,Frontend,Build Automation Pipelines table,all controls present per row,P0
TASK-016,Phase 2,Frontend,Build Inference Fabric panel,6 tiers and call counts displayed,P0
TASK-017,Phase 2,Frontend,Build Cross-Correlation panel,sources/jobs/control cards present,P0
TASK-018,Phase 2,Frontend,Build Knowledge Graph panel,ontology + learned facts displayed,P0
TASK-019,Phase 2,Frontend,Build Live Activity feed,new events append live,P0
TASK-020,Phase 2,Frontend,Build Alerts panel,alerts render with acknowledge,P0
TASK-021,Phase 3,3D,Create R3F scene root,Canvas renders without blocking UI,P1
TASK-022,Phase 3,3D,Add quality modes,cinematic/balanced/performance/safe switch works,P1
TASK-023,Phase 3,3D,Add brain placeholder GLB loader,brain prop loads or fallback appears,P1
TASK-024,Phase 3,3D,Add holographic brain shader,emissive/fresnel/scanline visible,P1
TASK-025,Phase 3,3D,Add audio-reactive morph controller,voice input drives brain pulse,P1
TASK-026,Phase 3,3D,Add map visual placeholder,globe/map mesh renders,P1
TASK-027,Phase 3,3D,Add route particle system,particles show inference/data routes,P1
TASK-028,Phase 3,3D,Add GLB asset registry loader,assets loaded by scene manifest,P1
TASK-029,Phase 3,3D,Add asset disposal lifecycle,no memory leak after unmount,P1
TASK-030,Phase 3,3D,Add FPS/performance monitor,visible in developer mode,P1
TASK-031,Phase 4,Assets,Create Asset Forge backend image route,GPT Image 2 job creates asset record,P1
TASK-032,Phase 4,Assets,Create Asset Forge backend GLB route,Tripo job creates asset record,P1
TASK-033,Phase 4,Assets,Create asset library DB table,metadata persisted,P1
TASK-034,Phase 4,Assets,Create image preview viewer,image assets preview,P1
