cell_id,master_topic_id,master_topic,master_topic_purpose,universal_niche_id,universal_niche,topic_specific_niche,operational_meaning,primary_acquisition_families,ontology_object_targets,core_flow,platforms,priority
CELL-0001,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N01,Live status,Space objects,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0002,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N02,Historical archive,Orbital mechanics,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0003,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N03,Forecast / prediction,Cosmic radiation,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0004,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N04,Registry / catalogue,Astronomical observations,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0005,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N05,Geospatial layer,Space missions,Where it is.,"AF05, AF09","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0006,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N06,Entity relationships,Solar activity,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0007,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N07,Event / incident feed,Ground stations,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0008,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N08,Risk / compliance layer,Space debris,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0009,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N09,Operational workflow,Scientific literature,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0010,T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena.",N10,Audit / provenance,Space policy,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, Place, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0011,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N01,Live status,Weather,What is happening now.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0012,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N02,Historical archive,Ocean,What happened before.,"AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0013,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N03,Forecast / prediction,Land,What is likely to happen.,"AF18, AF08, AF16","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0014,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N04,Registry / catalogue,Rivers/water,What exists and how it is identified.,"AF01, AF06, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0015,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N05,Geospatial layer,Cryosphere,Where it is.,"AF05, AF09","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0016,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N06,Entity relationships,Atmosphere,"How people, assets, events and systems connect.","AF06, AF02, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0017,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N07,Event / incident feed,Earth observation,What changed or triggered action.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0018,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N08,Risk / compliance layer,Natural hazards,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0019,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N09,Operational workflow,Environmental baselines,"What task, case, mission or business process follows.","AF17, AF12, AF20","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0020,T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere.",N10,Audit / provenance,Models/simulations,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0021,T003,Geography & location,"Locate every entity, event, asset and boundary.",N01,Live status,Countries/regions,What is happening now.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0022,T003,Geography & location,"Locate every entity, event, asset and boundary.",N02,Historical archive,Addresses,What happened before.,"AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0023,T003,Geography & location,"Locate every entity, event, asset and boundary.",N03,Forecast / prediction,Parcels,What is likely to happen.,"AF18, AF08, AF16","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0024,T003,Geography & location,"Locate every entity, event, asset and boundary.",N04,Registry / catalogue,Boundaries,What exists and how it is identified.,"AF01, AF06, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0025,T003,Geography & location,"Locate every entity, event, asset and boundary.",N05,Geospatial layer,Points of interest,Where it is.,"AF05, AF09","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0026,T003,Geography & location,"Locate every entity, event, asset and boundary.",N06,Entity relationships,Terrain,"How people, assets, events and systems connect.","AF06, AF02, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0027,T003,Geography & location,"Locate every entity, event, asset and boundary.",N07,Event / incident feed,Geocoding,What changed or triggered action.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0028,T003,Geography & location,"Locate every entity, event, asset and boundary.",N08,Risk / compliance layer,Movement corridors,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0029,T003,Geography & location,"Locate every entity, event, asset and boundary.",N09,Operational workflow,Spatial metadata,"What task, case, mission or business process follows.","AF17, AF12, AF20","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0030,T003,Geography & location,"Locate every entity, event, asset and boundary.",N10,Audit / provenance,Map layers,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0031,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N01,Live status,Species,What is happening now.,"AF04, AF07, AF08","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0032,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N02,Historical archive,Habitats,What happened before.,"AF03, AF15, AF19","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0033,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N03,Forecast / prediction,Pollution,What is likely to happen.,"AF18, AF08, AF16","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0034,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N04,Registry / catalogue,Waste,What exists and how it is identified.,"AF01, AF06, AF15","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0035,T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations.",N05,Geospatial layer,Emissions,Where it is.,"AF05, AF09","Place, Event, Measurement, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
