gap_id,category,severity,gap,v7_status,v7_evidence_path,remaining_work
GAP-0001,Runtime implementation,Critical,Connector services are templates/contracts rather than deployed source-specific services,partially_closed_by_v7_reference_implementation,runtime_core/connector_runner,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0002,Runtime implementation,High,Parser modules do not yet include source-specific tested parse logic for every endpoint,partially_closed_by_v7_reference_implementation,runtime_core/parser_harness,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0003,Runtime implementation,High,Quality gates are defined but not integrated into running pipeline orchestration,partially_closed_by_v7_reference_implementation,runtime_core/quality_gate_runner,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0004,Runtime implementation,Medium,Action engine contracts exist but no deployed service executes actions with compensation,partially_closed_by_v7_reference_implementation,runtime_core/action_engine,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0005,Runtime implementation,Medium,Audit/replay schemas exist but no append-only production audit service is running,partially_closed_by_v7_reference_implementation,runtime_core/audit_service,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0006,Runtime implementation,Critical,Memory runtime schemas exist but no live memory store has been connected to vector and graph DBs,documented_gap,,Backlog item remains open
GAP-0007,Runtime implementation,High,Apollo desired-state files exist but no fleet agent binary is running on nodes,partially_closed_by_v7_reference_implementation,apollo_control_plane,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0008,Runtime implementation,High,Foundry pipeline manifests exist but no real DAG/Temporal/Airflow/Dagster executions are wired,documented_gap,,Backlog item remains open
GAP-0009,Runtime implementation,Medium,"Gotham app specs exist but no live event stream, case engine or map backend is connected",partially_closed_by_v7_reference_implementation,gotham_runtime/case_engine,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0010,Runtime implementation,Medium,"AIP registry exists but no model gateway, policy-filtered context builder and tool runner are deployed",partially_closed_by_v7_reference_implementation,aip_runtime,"Production deployment, source-specific implementation, integration tests and performance evidence still required"
GAP-0011,Data acquisition,Critical,Source terms are pending for most sources; free/public does not equal unrestricted commercial use,documented_gap,,Backlog item remains open
GAP-0012,Data acquisition,High,"Rate-limit, API-key, quota and authentication metadata is not complete per source",documented_gap,,Backlog item remains open
GAP-0013,Data acquisition,High,Coverage is broad but not proven complete by country/region/domain,documented_gap,,Backlog item remains open
GAP-0014,Data acquisition,Medium,No automated source health checker is running,documented_gap,,Backlog item remains open
GAP-0015,Data acquisition,Medium,No actual scheduled scraping/API/download jobs are executing,documented_gap,,Backlog item remains open
GAP-0016,Data acquisition,Critical,No connector error taxonomy mapped to remediation workflows,documented_gap,,Backlog item remains open
GAP-0017,Data acquisition,High,No source deprecation detector or endpoint schema drift detector,documented_gap,,Backlog item remains open
GAP-0018,Data acquisition,High,No real-world freshness SLA testing by source family,documented_gap,,Backlog item remains open
GAP-0019,Data acquisition,Medium,No verified robots.txt/terms register for each web/document source,documented_gap,,Backlog item remains open
