source_id,source_name,url,description,access_method,auth,domain_use
V4SRC-0001,EarthScope/IRIS FDSN,https://service.iris.edu/fdsnws/,Seismic waveform/station/event web services,REST/FDSN,No key/terms,seismology
V4SRC-0002,NOAA GOES-R data,https://www.goes-r.gov/,GOES satellite imagery/products,cloud/download/API,No key/terms,weather satellite
V4SRC-0003,EUMETSAT Data Store,https://data.eumetsat.int/,Meteorological satellite products,API/download,Account/terms,weather satellite
V4SRC-0004,NASA GRACE/GRACE-FO,https://grace.jpl.nasa.gov/data/,Gravity/water storage data,download/API,No key/terms,water/climate
V4SRC-0005,NOAA ERDDAP servers,https://coastwatch.pfeg.noaa.gov/erddap/index.html,Scientific datasets via ERDDAP,REST/CSV/NetCDF,No key,ocean/atmosphere
V4SRC-0006,IUCN Red List API,https://apiv3.iucnredlist.org/api/v3/docs,Species conservation status API,REST/JSON,Token/terms,conservation
V4SRC-0007,EPA TRI Basic Data Files,https://www.epa.gov/toxics-release-inventory-tri-program/tri-basic-data-files-calendar-years-1987-present,Toxic release inventory files,CSV/download,No key,industrial emissions
V4SRC-0008,Europe PMC API,https://europepmc.org/RestfulWebService,Biomedical literature REST API,REST/JSON/XML,No key,biomedical literature
V4SRC-0009,Open Targets Platform,https://platform-docs.opentargets.org/data-access/api,Drug target/disease evidence APIs,GraphQL/API,No key/terms,biomedical knowledge
V4SRC-0010,ChEMBL Web Services,https://www.ebi.ac.uk/chembl/api/data/docs,Bioactive molecules and drug discovery API,REST/JSON/XML,No key,drug discovery
V4SRC-0011,FDA FAERS Public Data,https://www.fda.gov/drugs/questions-and-answers-fdas-adverse-event-reporting-system-faers/fda-adverse-event-reporting-system-faers-public-dashboard,Adverse event reporting data,download/web,No key/terms,pharmacovigilance
V4SRC-0012,NHTSA Vehicle API,https://vpic.nhtsa.dot.gov/api/,Vehicle product information catalogue,REST/JSON,No key,vehicles
V4SRC-0013,Aviation Weather Center API,https://aviationweather.gov/data/api/,METAR/TAF/AIRMET/SIGMET aviation weather,REST/JSON/XML,No key,aviation weather
V4SRC-0014,Network Rail open data,https://www.networkrail.co.uk/industry-and-commercial/information-for-operators/open-data-feeds/,UK rail open data feeds,feeds/API,Account/terms,rail operations
V4SRC-0015,Global Fishing Watch API,https://globalfishingwatch.org/our-apis/,Fishing activity and vessel datasets,API/download,API key/terms,maritime
V4SRC-0016,WTO Data API,https://apiportal.wto.org/,World Trade Organization data APIs,API,Account/key,trade statistics
V4SRC-0017,Open Supply Hub,https://info.opensupplyhub.org/api,Facility/supply chain open data API,REST/API,Key/terms,supply chain
V4SRC-0018,USGS Water Services,https://waterservices.usgs.gov/,US water data web services,REST/JSON/RDB,No key,water gauges
V4SRC-0019,Water Quality Portal,https://www.waterqualitydata.us/,US water quality data access,REST/CSV/JSON,No key,water quality
V4SRC-0020,Open Energy Platform,https://openenergy-platform.org/api/,Open energy system datasets and API,REST/API/download,No key/terms,energy systems
V4SRC-0021,Climate TRACE,https://climatetrace.org/data,Emissions inventory dataset,download/API-like,No key/terms,emissions
V4SRC-0022,EDGAR Emissions Database,https://edgar.jrc.ec.europa.eu/,Global emissions database,download,No key/terms,emissions
V4SRC-0023,USGS Mineral Resources Data System,https://mrdata.usgs.gov/,Mineral resources datasets,download/API,No key,minerals
V4SRC-0024,MITRE ATT&CK,https://attack.mitre.org/resources/working-with-attack/,Adversary tactics/techniques knowledge base,STIX/download/API-like,No key/terms,cyber threat
V4SRC-0025,MITRE D3FEND,https://d3fend.mitre.org/,Cyber defensive countermeasure knowledge graph,RDF/SPARQL/download,No key,cyber defence
V4SRC-0026,FIRST EPSS,https://www.first.org/epss/api,Exploit Prediction Scoring System API,REST/CSV,No key,vulnerability risk
V4SRC-0027,deps.dev API,https://docs.deps.dev/api/,Open-source dependency metadata API,REST/JSON,No key,software supply chain
V4SRC-0028,OSV API,https://google.github.io/osv.dev/api/,Open Source Vulnerability API,REST/JSON,No key,software vulnerabilities
V4SRC-0029,Sigstore Rekor,https://docs.sigstore.dev/logging/overview/,Transparency log for software supply chain,API/log,No key,software provenance
V4SRC-0030,Open Policy Agent,https://www.openpolicyagent.org/docs/latest/,Policy as code engine/docs,software/docs,Open source,policy enforcement
V4SRC-0031,SPIFFE/SPIRE,https://spiffe.io/docs/latest/spiffe-about/overview/,Workload identity framework,software/docs,Open source,identity
V4SRC-0032,OpenTelemetry Collector,https://opentelemetry.io/docs/collector/,Telemetry collector docs,OTLP/config,Open source,observability
