category,total_gaps,critical,high,medium,p0,p1,p2
Apollo/runtime operations,10,2,4,4,2,4,4
Combinatorial expansion dimension,30,0,30,0,0,30,0
Data acquisition,10,2,4,4,2,4,4
Data engineering,10,2,4,4,2,4,4
Ontology and graph,10,2,4,4,2,4,4
Runtime implementation,10,2,4,4,2,4,4
Scale and hard technology,10,2,4,4,2,4,4
Security and policy,10,2,4,4,2,4,4
Standards and compliance,10,2,4,4,2,4,4
Testing and validation,10,2,4,4,2,4,4
UI/UX and visualisation,10,2,4,4,2,4,4
Vector and retrieval,10,2,4,4,2,4,4
