id,kind,parent,label,repo,source,lane,importance,relationship,child_count,visual_radius,distance,theta_deg,x,y,z,orbit_radius,orbit_speed,phase,notes,actions,dust_policy
apex:jarvis-core,apex,,JARVIS Apex Core / Arc Hologram,WORLD_MANIFEST.sun + buildBrain + morphLiquid + faceMesh + sunFace,"manifest, jarvis_live.html",center,1.0,1.0,15,48,0,0,0,0,0,0,0,0,Largest object; central voice-reactive morphing hologram/reaction core.,"Talk, listen, pulse, command",none
planet:budget-token-governor,planet,apex:jarvis-core,Budget / Token Governor,services/token_governor.py + /budget,repo/runtime/manual seed,budget,0.56,0.56,1,25.8090808735458,427.97046493024027,54.4309905374282,121.88258202466328,113.34715951106638,-427.97046493024027,427.97046493024027,0.003978607373874236,0.6516193800630005,"Daily spend, economy mode, model/tier governance.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:voice-tts,planet,apex:jarvis-core,Voice / TTS,"/tts, Piper, XTTS, JARVIS voice modulation",repo/runtime/manual seed,voice,0.58,0.58,2,26.213597856675317,415.3111744290064,100.26761414789407,-35.74051500076728,131.09824323708713,-415.3111744290064,415.3111744290064,0.0041012445897140965,4.335111121891116,"Speech output, voice clone fallback, audio cache.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:guardian,planet,apex:jarvis-core,Guardian,"Guardian WebRTC overlay, safety rules, mum lifeline",repo/runtime/manual seed,guardian,0.68,0.68,2,28.180995480679957,355.2985119658675,83.07888029396936,19.215127244223375,104.6841643221727,-355.2985119658675,355.2985119658675,0.004771725135631146,4.679361456808073,Life/safety video monitor and secure two-way interaction.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:climate,planet,apex:jarvis-core,Climate,"services/climate_relay.py, AirTouch/Daikin bridge",repo/runtime/manual seed,guardian,0.6,0.6,2,26.614227078705877,402.8611883413661,220.5866443440072,-145.62841346658638,-82.8237158102118,-402.8611883413661,402.8611883413661,0.004227547865324682,2.6541020254320338,"Home climate intent, zones, heating/cooling actions.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:jarvis-live-ui,planet,apex:jarvis-core,JARVIS Live UI,server/jarvis_live.html + dashboard shell,repo/runtime/manual seed,ui,0.96,0.96,5,33.30486167285259,228.16810924733153,-2.8647889756541165,80.57941413429837,-2.618278626454195,-228.16810924733153,228.16810924733153,0.007134154287062881,6.177195594703667,"Major visual/interaction destination: Apex Core, Three.js, camera, HUD, dock, fly-to, panels.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:glb-media-studio,planet,apex:jarvis-core,GLB / Media Studio,"/library, media_gen, generated GLBs, Asset Forge",repo/runtime/manual seed,media,0.7,0.7,3,28.564439031411585,344.0092963730861,117.45634800181875,-70.10707512470783,89.13618398596459,-344.0092963730861,344.0092963730861,0.004918012440654395,2.561201901210196,"Generated models, image studio, GLB loader, asset previews.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:underworld,planet,apex:jarvis-core,Underworld,underworld/ web + backend + scene components,repo/runtime/manual seed,underworld,0.5,0.5,2,24.570338612740564,467.14399083747645,151.83381570966816,-210.03117086926267,74.97211849081219,-467.14399083747645,467.14399083747645,0.003631471144641062,2.8411458537218057,Underworld game/world layer and minion/scene system.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:knowledge-ontology,planet,apex:jarvis-core,Knowledge / Ontology,"server/data/brain.db, /graphdata, WORLD_MANIFEST.domains",repo/runtime/manual seed,knowledge,0.92,0.92,5,32.60156319737825,240.82150089258224,-54.4309905374282,51.43803499493898,-46.85639589687172,-240.82150089258224,240.82150089258224,0.00678016564238567,0.370522131694577,Major ontology and graph navigation domain. Documents remain dust unless selected/searched.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:documents-ingestion,planet,apex:jarvis-core,Documents / Ingestion,"Document Ingestor, scraper engines, OCR docs, Document objects",repo/runtime/manual seed,knowledge,0.74,0.74,2,29.322267040545505,322.2243997754025,83.07677351260963,16.63935350003378,90.33267732884374,-322.2243997754025,322.2243997754025,0.005223352249681698,5.719076381715795,Document pipeline as domain; individual documents are dust unless promoted.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:correlation-graph,planet,apex:jarvis-core,Correlation / Graph,"services/correlator.py, graph_stream.py, GraphCanvas, PlaneGraph",repo/runtime/manual seed,knowledge,0.72,0.72,2,28.944826799113365,332.98060389565137,220.58453756264748,-110.05384987056851,-62.21526136770771,-332.98060389565137,332.98060389565137,0.0050685446640245085,1.1446188873804,"Entity dedupe, ont_links, stream, layout engine, graph policy.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:agent-os,planet,apex:jarvis-core,Agent OS,server/agent.py + /agent/tools + services/aip_tools.py,repo/runtime/manual seed,intelligence,0.84,0.84,2,31.168609313373313,273.07653047875647,14.32394487827058,104.35320842563738,17.457559509470624,-273.07653047875647,273.07653047875647,0.006059071359414536,2.6126943559410383,"Tool registry, planner/executor, governed actions, approvals.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:inference-fabric,planet,apex:jarvis-core,Inference Fabric,services/tiered_llm.py + services/llm_gate.py + routing metrics,repo/runtime/manual seed,intelligence,0.82,0.82,2,30.804496775409227,282.22407243177025,151.83170892830842,-99.81808612658108,35.06548593946671,-282.22407243177025,282.22407243177025,0.005884304607988534,5.7595332232121965,"Tiered LLM calls, routing, model selection, GPU/local fallback.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:self-development,planet,apex:jarvis-core,Self-Development,"/suggestions, /proposal, /upgrade, FEATURES.md",repo/runtime/manual seed,intelligence,0.8,0.8,4,30.437888821909063,291.73499024756927,289.3394729783463,39.41781065033978,-73.77323563815295,-291.73499024756927,291.73499024756927,0.00571307372027269,5.685496934623507,"Upgrade suggestions, proposals, build execution, rollback, scheduler.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:infrastructure,planet,apex:jarvis-core,Infrastructure,"/metrics vps + box, Hostinger VPS, Vast GPU 2x4090",repo/runtime/manual seed,infrastructure,0.88,0.88,4,31.889647383967482,255.99442428596694,48.70141258611997,64.33692368269702,47.850110384054844,-255.99442428596694,255.99442428596694,0.006417063921901091,4.119554895881752,"Compute, GPU, VPS, PM2, Docker, storage, network health.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:automation-runners,planet,apex:jarvis-core,Automation / Runners,server/dashboard.py RUNNER_SET + TASKS + PM2 workers,repo/runtime/manual seed,automation,0.93,0.93,6,32.778177068995106,237.38692991280823,-20.05352282957881,81.12550982133138,-19.275391603649695,-237.38692991280823,237.38692991280823,0.006870342698883021,0.3105526328417043,"Major running automation system: knowledge builder, correlator, ingestor, live producer, feedback, heavy worker.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
