button_id,label,type,enabled_when,action,risk,approval,failure_state
ask_jarvis,Ask Jarvis,primary,user_authenticated,open_jarvis_prompt,low,none,show prompt validation
trace_source,Trace Source,primary,source_selected,open_lineage_trace,low,none,show missing lineage
run_retrieval_test,Run Retrieval Test,secondary,namespace_selected,execute_retrieval_eval,medium,none,show eval failure
create_case,Create Case,primary,event_or_object_selected,create_case,medium,conditional,show policy block
generate_briefing,Generate Briefing,primary,evidence_available,generate_briefing,medium,none,show missing citations
approve_action,Approve Action,approval,approval_required_and_user_authorised,approve_action,high,human,show authorisation denied
reject_action,Reject,danger,approval_required_and_user_authorised,reject_action,medium,human,show authorisation denied
promote_rollout,Promote Rollout,approval,health_gates_passed,apollo_promote_rollout,high,change_control,show failed gate
pause_rollout,Pause,danger,rollout_active,apollo_pause_rollout,high,change_control,show runtime error
rollback,Rollback,danger,rollback_candidate_exists,apollo_rollback,critical,change_control,show rollback unavailable
export_evidence,Export Evidence,secondary,audit_chain_selected_and_export_allowed,export_evidence,high,export_control,show export blocked
quarantine_data,Quarantine Data,danger,quality_gate_failed,quarantine_data,high,data_steward,show quarantine failure
