edge_id,source_node,target_node,edge_type,description,weight,evidence_type,flow_layer
EDGE-00001,Universe & cosmology,Information & communication,CAUSES_RISK_TO,"solar storms and radiation affect satellites, GNSS, radio propagation and telecom resilience",0.9,domain logic / ontology dependency,domain influence
EDGE-00002,Universe & cosmology,Energy & resources,CAUSES_RISK_TO,geomagnetic storms can affect grid operations and transformer risk,0.9,domain logic / ontology dependency,domain influence
EDGE-00003,Earth systems,Climate & hazards,DRIVES,"weather/ocean/atmosphere states drive storms, floods, fires and hazard forecasts",0.9,domain logic / ontology dependency,domain influence
EDGE-00004,Climate & hazards,Infrastructure & utilities,IMPACTS,"hazards damage or stress utilities, transport, buildings and communications",0.9,domain logic / ontology dependency,domain influence
EDGE-00005,Geography & location,Everything,ANCHORS,"geospatial identity anchors objects, events, assets, jurisdictions and movement",0.9,domain logic / ontology dependency,domain influence
EDGE-00006,Environment & ecology,Law & regulation,TRIGGERS_COMPLIANCE,"pollution, permits and protected areas drive regulatory obligations",0.9,domain logic / ontology dependency,domain influence
EDGE-00007,Life & biology,Human body & health,INFORMS,"pathogens, genetics and biology inform disease surveillance and public health",0.9,domain logic / ontology dependency,domain influence
EDGE-00008,Human body & health,Government & public administration,TRIGGERS,"health capacity, disease and public health events trigger government response",0.9,domain logic / ontology dependency,domain influence
EDGE-00009,People & demographics,Urban & built environment,DRIVES,"population demand shapes housing, transport, services and infrastructure planning",0.9,domain logic / ontology dependency,domain influence
EDGE-00010,Society & culture,Politics & governance,INFLUENCES,"community values, media and public sentiment shape policy and governance risk",0.9,domain logic / ontology dependency,domain influence
EDGE-00011,Knowledge & education,Work & labour,FEEDS,"education and credentials influence skills, workforce supply and labour markets",0.9,domain logic / ontology dependency,domain influence
EDGE-00012,Science & research,Technology & engineering,TRANSLATES_TO,"research outputs, patents and standards become technical systems and products",0.9,domain logic / ontology dependency,domain influence
EDGE-00013,Technology & engineering,Information & communication,ENABLES,"software, networks and hardware define the communication and cyber surface",0.9,domain logic / ontology dependency,domain influence
EDGE-00014,Information & communication,Security & conflict,AFFECTS,"cyber infrastructure, media and information quality affect security posture",0.9,domain logic / ontology dependency,domain influence
EDGE-00015,Economy & industry,Finance & ownership,DRIVES,"macro and industry states affect markets, ownership, credit and investment risk",0.9,domain logic / ontology dependency,domain influence
EDGE-00016,Products & commodities,Supply chain,AFFECTS,product and commodity availability affects supply chain and trade operations,0.9,domain logic / ontology dependency,domain influence
EDGE-00017,Finance & ownership,Business & organisations,MAPS_TO,"ownership, filings, capital and payments map corporate control and risk",0.9,domain logic / ontology dependency,domain influence
EDGE-00018,Government & public administration,Law & regulation,PRODUCES,"government actions create, enforce and modify legal rules and regulatory obligations",0.9,domain logic / ontology dependency,domain influence
EDGE-00019,Law & regulation,Business & organisations,CONSTRAINS,"legal rules, sanctions and licences constrain company operations",0.9,domain logic / ontology dependency,domain influence
EDGE-00020,Politics & governance,Government & public administration,CHANGES,"elections and political decisions change offices, budgets and policy priorities",0.9,domain logic / ontology dependency,domain influence
EDGE-00021,Security & conflict,Transport & mobility,DISRUPTS,"conflict, crime and emergency incidents disrupt movement and logistics",0.9,domain logic / ontology dependency,domain influence
EDGE-00022,Infrastructure & utilities,Energy & resources,DEPENDS_ON,energy generation and transmission depend on infrastructure and grid assets,0.9,domain logic / ontology dependency,domain influence
EDGE-00023,Energy & resources,Economy & industry,AFFECTS,energy prices and availability affect industrial output and inflation,0.9,domain logic / ontology dependency,domain influence
EDGE-00024,Agriculture & food systems,Products & commodities,FEEDS,crop/livestock/fisheries output becomes food commodities and retail availability,0.9,domain logic / ontology dependency,domain influence
EDGE-00025,Urban & built environment,Infrastructure & utilities,DEPENDS_ON,"cities depend on water, energy, telecom, roads, buildings and maintenance",0.9,domain logic / ontology dependency,domain influence
EDGE-00026,Transport & mobility,Economy & industry,ENABLES,"freight and passenger movement affect productivity, trade and supply chains",0.9,domain logic / ontology dependency,domain influence
EDGE-00027,Business & organisations,Work & labour,DRIVES,"companies create jobs, skill demand, safety obligations and workforce flows",0.9,domain logic / ontology dependency,domain influence
EDGE-00028,Work & labour,Economy & industry,AFFECTS,workforce supply and productivity affect production and regional economy,0.9,domain logic / ontology dependency,domain influence
EDGE-00029,Consumption & lifestyle,Economy & industry,DRIVES,"consumer spending and tourism feed demand, prices and business activity",0.9,domain logic / ontology dependency,domain influence
EDGE-00030,Ethics & philosophy,AIP,GOVERNS,"ethics, fairness, consent and accountability govern AI actions and outputs",0.9,domain logic / ontology dependency,domain influence
EDGE-00031,Classification & metadata itself,Foundry,GOVERNS,"metadata, schemas, lineage and quality are prerequisites for operational ontology",0.9,domain logic / ontology dependency,domain influence
EDGE-00032,Classification & metadata itself,Apollo,GOVERNS,"metadata, versions and policies govern runtime deployment and release state",0.9,domain logic / ontology dependency,domain influence
EDGE-00033,Classification & metadata itself,Gotham,GOVERNS,"classification, provenance and access control govern investigations and mission workflows",0.9,domain logic / ontology dependency,domain influence
EDGE-00034,Universe & cosmology,Space objects,HAS_NICHE,Space objects is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00035,Space objects,AF04,ACQUIRED_BY,Space objects data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00036,Space objects,AF07,ACQUIRED_BY,Space objects data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00037,Space objects,AF08,ACQUIRED_BY,Space objects data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00038,Space objects,Asset,MAPS_TO_OBJECT,Space objects maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00039,Space objects,Measurement,MAPS_TO_OBJECT,Space objects maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00040,Space objects,Event,MAPS_TO_OBJECT,Space objects maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00041,Space objects,Place,MAPS_TO_OBJECT,Space objects maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00042,Space objects,AuditRecord,MAPS_TO_OBJECT,Space objects maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00043,Universe & cosmology,Orbital mechanics,HAS_NICHE,Orbital mechanics is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00044,Orbital mechanics,AF03,ACQUIRED_BY,Orbital mechanics data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00045,Orbital mechanics,AF15,ACQUIRED_BY,Orbital mechanics data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00046,Orbital mechanics,AF19,ACQUIRED_BY,Orbital mechanics data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00047,Orbital mechanics,Asset,MAPS_TO_OBJECT,Orbital mechanics maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00048,Orbital mechanics,Measurement,MAPS_TO_OBJECT,Orbital mechanics maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00049,Orbital mechanics,Event,MAPS_TO_OBJECT,Orbital mechanics maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00050,Orbital mechanics,Place,MAPS_TO_OBJECT,Orbital mechanics maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00051,Orbital mechanics,AuditRecord,MAPS_TO_OBJECT,Orbital mechanics maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00052,Universe & cosmology,Cosmic radiation,HAS_NICHE,Cosmic radiation is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00053,Cosmic radiation,AF18,ACQUIRED_BY,Cosmic radiation data can be acquired via AF18,0.65,acquisition mapping,source acquisition
EDGE-00054,Cosmic radiation,AF08,ACQUIRED_BY,Cosmic radiation data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00055,Cosmic radiation,AF16,ACQUIRED_BY,Cosmic radiation data can be acquired via AF16,0.65,acquisition mapping,source acquisition
EDGE-00056,Cosmic radiation,Asset,MAPS_TO_OBJECT,Cosmic radiation maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00057,Cosmic radiation,Measurement,MAPS_TO_OBJECT,Cosmic radiation maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00058,Cosmic radiation,Event,MAPS_TO_OBJECT,Cosmic radiation maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00059,Cosmic radiation,Place,MAPS_TO_OBJECT,Cosmic radiation maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00060,Cosmic radiation,AuditRecord,MAPS_TO_OBJECT,Cosmic radiation maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00061,Universe & cosmology,Astronomical observations,HAS_NICHE,Astronomical observations is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00062,Astronomical observations,AF01,ACQUIRED_BY,Astronomical observations data can be acquired via AF01,0.65,acquisition mapping,source acquisition
EDGE-00063,Astronomical observations,AF06,ACQUIRED_BY,Astronomical observations data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00064,Astronomical observations,AF15,ACQUIRED_BY,Astronomical observations data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00065,Astronomical observations,Asset,MAPS_TO_OBJECT,Astronomical observations maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00066,Astronomical observations,Measurement,MAPS_TO_OBJECT,Astronomical observations maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00067,Astronomical observations,Event,MAPS_TO_OBJECT,Astronomical observations maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00068,Astronomical observations,Place,MAPS_TO_OBJECT,Astronomical observations maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00069,Astronomical observations,AuditRecord,MAPS_TO_OBJECT,Astronomical observations maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00070,Universe & cosmology,Space missions,HAS_NICHE,Space missions is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00071,Space missions,AF05,ACQUIRED_BY,Space missions data can be acquired via AF05,0.65,acquisition mapping,source acquisition
EDGE-00072,Space missions,AF09,ACQUIRED_BY,Space missions data can be acquired via AF09,0.65,acquisition mapping,source acquisition
EDGE-00073,Space missions,Asset,MAPS_TO_OBJECT,Space missions maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00074,Space missions,Measurement,MAPS_TO_OBJECT,Space missions maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00075,Space missions,Event,MAPS_TO_OBJECT,Space missions maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00076,Space missions,Place,MAPS_TO_OBJECT,Space missions maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00077,Space missions,AuditRecord,MAPS_TO_OBJECT,Space missions maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00078,Universe & cosmology,Solar activity,HAS_NICHE,Solar activity is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00079,Solar activity,AF06,ACQUIRED_BY,Solar activity data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00080,Solar activity,AF02,ACQUIRED_BY,Solar activity data can be acquired via AF02,0.65,acquisition mapping,source acquisition
EDGE-00081,Solar activity,AF15,ACQUIRED_BY,Solar activity data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00082,Solar activity,Asset,MAPS_TO_OBJECT,Solar activity maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00083,Solar activity,Measurement,MAPS_TO_OBJECT,Solar activity maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00084,Solar activity,Event,MAPS_TO_OBJECT,Solar activity maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00085,Solar activity,Place,MAPS_TO_OBJECT,Solar activity maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00086,Solar activity,AuditRecord,MAPS_TO_OBJECT,Solar activity maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00087,Universe & cosmology,Ground stations,HAS_NICHE,Ground stations is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00088,Ground stations,AF04,ACQUIRED_BY,Ground stations data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00089,Ground stations,AF07,ACQUIRED_BY,Ground stations data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00090,Ground stations,AF08,ACQUIRED_BY,Ground stations data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00091,Ground stations,Asset,MAPS_TO_OBJECT,Ground stations maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00092,Ground stations,Measurement,MAPS_TO_OBJECT,Ground stations maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00093,Ground stations,Event,MAPS_TO_OBJECT,Ground stations maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00094,Ground stations,Place,MAPS_TO_OBJECT,Ground stations maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00095,Ground stations,AuditRecord,MAPS_TO_OBJECT,Ground stations maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00096,Universe & cosmology,Space debris,HAS_NICHE,Space debris is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00097,Space debris,AF19,ACQUIRED_BY,Space debris data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00098,Space debris,AF11,ACQUIRED_BY,Space debris data can be acquired via AF11,0.65,acquisition mapping,source acquisition
EDGE-00099,Space debris,AF15,ACQUIRED_BY,Space debris data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00100,Space debris,Asset,MAPS_TO_OBJECT,Space debris maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00101,Space debris,Measurement,MAPS_TO_OBJECT,Space debris maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00102,Space debris,Event,MAPS_TO_OBJECT,Space debris maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00103,Space debris,Place,MAPS_TO_OBJECT,Space debris maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00104,Space debris,AuditRecord,MAPS_TO_OBJECT,Space debris maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00105,Universe & cosmology,Scientific literature,HAS_NICHE,Scientific literature is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00106,Scientific literature,AF17,ACQUIRED_BY,Scientific literature data can be acquired via AF17,0.65,acquisition mapping,source acquisition
EDGE-00107,Scientific literature,AF12,ACQUIRED_BY,Scientific literature data can be acquired via AF12,0.65,acquisition mapping,source acquisition
EDGE-00108,Scientific literature,AF20,ACQUIRED_BY,Scientific literature data can be acquired via AF20,0.65,acquisition mapping,source acquisition
EDGE-00109,Scientific literature,Asset,MAPS_TO_OBJECT,Scientific literature maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00110,Scientific literature,Measurement,MAPS_TO_OBJECT,Scientific literature maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00111,Scientific literature,Event,MAPS_TO_OBJECT,Scientific literature maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00112,Scientific literature,Place,MAPS_TO_OBJECT,Scientific literature maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00113,Scientific literature,AuditRecord,MAPS_TO_OBJECT,Scientific literature maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00114,Universe & cosmology,Space policy,HAS_NICHE,Space policy is a niche under Universe & cosmology,0.7,taxonomy,taxonomy
EDGE-00115,Space policy,AF03,ACQUIRED_BY,Space policy data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00116,Space policy,AF15,ACQUIRED_BY,Space policy data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00117,Space policy,AF19,ACQUIRED_BY,Space policy data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00118,Space policy,Asset,MAPS_TO_OBJECT,Space policy maps to ontology object Asset,0.7,ontology mapping,ontology
EDGE-00119,Space policy,Measurement,MAPS_TO_OBJECT,Space policy maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00120,Space policy,Event,MAPS_TO_OBJECT,Space policy maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00121,Space policy,Place,MAPS_TO_OBJECT,Space policy maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00122,Space policy,AuditRecord,MAPS_TO_OBJECT,Space policy maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00123,Earth systems,Weather,HAS_NICHE,Weather is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00124,Weather,AF04,ACQUIRED_BY,Weather data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00125,Weather,AF07,ACQUIRED_BY,Weather data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00126,Weather,AF08,ACQUIRED_BY,Weather data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00127,Weather,Place,MAPS_TO_OBJECT,Weather maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00128,Weather,Event,MAPS_TO_OBJECT,Weather maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00129,Weather,Measurement,MAPS_TO_OBJECT,Weather maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00130,Weather,AuditRecord,MAPS_TO_OBJECT,Weather maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00131,Earth systems,Ocean,HAS_NICHE,Ocean is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00132,Ocean,AF03,ACQUIRED_BY,Ocean data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00133,Ocean,AF15,ACQUIRED_BY,Ocean data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00134,Ocean,AF19,ACQUIRED_BY,Ocean data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00135,Ocean,Place,MAPS_TO_OBJECT,Ocean maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00136,Ocean,Event,MAPS_TO_OBJECT,Ocean maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00137,Ocean,Measurement,MAPS_TO_OBJECT,Ocean maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00138,Ocean,AuditRecord,MAPS_TO_OBJECT,Ocean maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00139,Earth systems,Land,HAS_NICHE,Land is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00140,Land,AF18,ACQUIRED_BY,Land data can be acquired via AF18,0.65,acquisition mapping,source acquisition
EDGE-00141,Land,AF08,ACQUIRED_BY,Land data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00142,Land,AF16,ACQUIRED_BY,Land data can be acquired via AF16,0.65,acquisition mapping,source acquisition
EDGE-00143,Land,Place,MAPS_TO_OBJECT,Land maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00144,Land,Event,MAPS_TO_OBJECT,Land maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00145,Land,Measurement,MAPS_TO_OBJECT,Land maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00146,Land,AuditRecord,MAPS_TO_OBJECT,Land maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00147,Earth systems,Rivers/water,HAS_NICHE,Rivers/water is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00148,Rivers/water,AF01,ACQUIRED_BY,Rivers/water data can be acquired via AF01,0.65,acquisition mapping,source acquisition
EDGE-00149,Rivers/water,AF06,ACQUIRED_BY,Rivers/water data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00150,Rivers/water,AF15,ACQUIRED_BY,Rivers/water data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00151,Rivers/water,Place,MAPS_TO_OBJECT,Rivers/water maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00152,Rivers/water,Event,MAPS_TO_OBJECT,Rivers/water maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00153,Rivers/water,Measurement,MAPS_TO_OBJECT,Rivers/water maps to ontology object Measurement,0.7,ontology mapping,ontology
EDGE-00154,Rivers/water,AuditRecord,MAPS_TO_OBJECT,Rivers/water maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00155,Earth systems,Cryosphere,HAS_NICHE,Cryosphere is a niche under Earth systems,0.7,taxonomy,taxonomy
EDGE-00156,Cryosphere,AF05,ACQUIRED_BY,Cryosphere data can be acquired via AF05,0.65,acquisition mapping,source acquisition
EDGE-00157,Cryosphere,AF09,ACQUIRED_BY,Cryosphere data can be acquired via AF09,0.65,acquisition mapping,source acquisition
EDGE-00158,Cryosphere,Place,MAPS_TO_OBJECT,Cryosphere maps to ontology object Place,0.7,ontology mapping,ontology
EDGE-00159,Cryosphere,Event,MAPS_TO_OBJECT,Cryosphere maps to ontology object Event,0.7,ontology mapping,ontology
