id,method,path,area,purpose,auth_required,audit_log
API-001,GET,/api/health,core,overall health normal/busy/degraded/critical,yes,yes
API-002,GET,/api/dashboard/state,core,one snapshot for initial render,yes,yes
API-003,GET,/api/events/stream,core,SSE live updates,yes,yes
API-004,GET,/api/ws,core,websocket live channel,yes,yes
API-005,GET,/api/audit,core,audit event list,yes,yes
API-006,POST,/api/search,core,global dashboard search,yes,yes
API-007,GET,/api/kpis,kpi,KPI strip data,yes,yes
API-008,GET,/api/live-activity,activity,newest events,yes,yes
API-009,GET,/api/live-activity/:id,activity,event detail,yes,yes
API-010,GET,/api/inference/tiers,inference,6-tier config and state,yes,yes
API-011,GET,/api/inference/residency,inference,model hot/warm/cold/off,yes,yes
API-012,GET,/api/inference/calls,inference,call counts by tier/model,yes,yes
API-013,GET,/api/inference/decisions,inference,last routing decisions,yes,yes
API-014,GET,/api/inference/decision/:id,inference,why did this run,yes,yes
API-015,POST,/api/inference/route/test,inference,dry-run router decision,yes,yes
API-016,POST,/api/inference/model/unload,inference,request model unload,yes,yes
API-017,POST,/api/inference/model/warm,inference,warm model if allowed,yes,yes
API-018,GET,/api/inference/validators,inference,validation stats,yes,yes
API-019,GET,/api/infra/vast,infrastructure,Vast GPU details,yes,yes
API-020,GET,/api/infra/vast/gpus,infrastructure,per GPU metrics,yes,yes
API-021,GET,/api/infra/vast/processes,infrastructure,GPU PIDs/model mapping,yes,yes
API-022,GET,/api/infra/hostinger,infrastructure,Hostinger VPS metrics,yes,yes
API-023,GET,/api/infra/hostinger/cores,infrastructure,per-core CPU,yes,yes
API-024,GET,/api/infra/docker,infrastructure,containers/status/resources,yes,yes
API-025,GET,/api/infra/docker/:name/logs,infrastructure,tail logs safely,yes,yes
API-026,POST,/api/infra/docker/:name/restart,infrastructure,restart container with guardrails,yes,yes
API-027,POST,/api/infra/docker/:name/stop,infrastructure,stop container with guardrails,yes,yes
API-028,GET,/api/pipelines,pipelines,list pipeline states,yes,yes
API-029,GET,/api/pipelines/:id,pipelines,pipeline detail,yes,yes
API-030,POST,/api/pipelines/:id/toggle,pipelines,set enabled true/false,yes,yes
API-031,POST,/api/pipelines/:id/run,pipelines,run now,yes,yes
API-032,POST,/api/pipelines/:id/pause,pipelines,pause statefully,yes,yes
API-033,POST,/api/pipelines/:id/stop,pipelines,stop active job,yes,yes
API-034,POST,/api/pipelines/:id/rerun,pipelines,rerun safely,yes,yes
API-035,POST,/api/pipelines/run-all,pipelines,bulk run all allowed,yes,yes
API-036,POST,/api/pipelines/pause-all,pipelines,bulk pause all,yes,yes
