gap_id,category,plane,severity,gap,why_it_matters,current_v6_state,minimum_next_action,acceptance_evidence_required,v7_priority
GAP-0001,Runtime implementation,All,Critical,Connector services are templates/contracts rather than deployed source-specific services,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0002,Runtime implementation,All,High,Parser modules do not yet include source-specific tested parse logic for every endpoint,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0003,Runtime implementation,All,High,Quality gates are defined but not integrated into running pipeline orchestration,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0004,Runtime implementation,All,Medium,Action engine contracts exist but no deployed service executes actions with compensation,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0005,Runtime implementation,All,Medium,Audit/replay schemas exist but no append-only production audit service is running,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0006,Runtime implementation,All,Critical,Memory runtime schemas exist but no live memory store has been connected to vector and graph DBs,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0007,Runtime implementation,All,High,Apollo desired-state files exist but no fleet agent binary is running on nodes,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0008,Runtime implementation,All,High,Foundry pipeline manifests exist but no real DAG/Temporal/Airflow/Dagster executions are wired,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0009,Runtime implementation,All,Medium,"Gotham app specs exist but no live event stream, case engine or map backend is connected",This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0010,Runtime implementation,All,Medium,"AIP registry exists but no model gateway, policy-filtered context builder and tool runner are deployed",This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0011,Data acquisition,Foundry,Critical,Source terms are pending for most sources; free/public does not equal unrestricted commercial use,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0012,Data acquisition,Foundry,High,"Rate-limit, API-key, quota and authentication metadata is not complete per source",This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
