mood,feeling,intensity,anim,vfx,dialogue_tone,face,llm_prompt
flow,joy,0.75,study,vfx_aura,bitter,serene,"Write a line of inner monologue for a minion who is flow and feels joy. One sentence, in character."
flow,grief,0.45,study,vfx_tear,exultant,serene,"Write a line of inner monologue for a minion who is flow and feels grief. One sentence, in character."
flow,pride,0.43,study,vfx_aura,bitter,neutral,"Write a line of inner monologue for a minion who is flow and feels pride. One sentence, in character."
flow,envy,0.48,study,vfx_glow,tender,frown,"Write a line of inner monologue for a minion who is flow and feels envy. One sentence, in character."
flow,wonder,0.9,study,vfx_spark,weary,smile,"Write a line of inner monologue for a minion who is flow and feels wonder. One sentence, in character."
flow,fear,0.59,study,,bitter,neutral,"Write a line of inner monologue for a minion who is flow and feels fear. One sentence, in character."
flow,love,0.66,study,vfx_glow,hollow,clenched,"Write a line of inner monologue for a minion who is flow and feels love. One sentence, in character."
flow,ambition,0.51,study,vfx_tear,bitter,serene,"Write a line of inner monologue for a minion who is flow and feels ambition. One sentence, in character."
flow,curiosity,0.72,study,vfx_tear,measured,serene,"Write a line of inner monologue for a minion who is flow and feels curiosity. One sentence, in character."
flow,despair,0.68,study,,measured,wide_eyed,"Write a line of inner monologue for a minion who is flow and feels despair. One sentence, in character."
flow,awe,0.99,study,vfx_tear,bitter,downcast,"Write a line of inner monologue for a minion who is flow and feels awe. One sentence, in character."
flow,resolve,0.72,study,vfx_glow,tender,frown,"Write a line of inner monologue for a minion who is flow and feels resolve. One sentence, in character."
flow,doubt,0.72,study,vfx_spark,measured,frown,"Write a line of inner monologue for a minion who is flow and feels doubt. One sentence, in character."
flow,triumph,0.76,study,vfx_aura,tender,downcast,"Write a line of inner monologue for a minion who is flow and feels triumph. One sentence, in character."
flow,longing,0.61,study,,fervent,serene,"Write a line of inner monologue for a minion who is flow and feels longing. One sentence, in character."
inspired,joy,0.48,celebrate,vfx_aura,measured,wide_eyed,"Write a line of inner monologue for a minion who is inspired and feels joy. One sentence, in character."
inspired,grief,0.7,celebrate,vfx_tear,hollow,clenched,"Write a line of inner monologue for a minion who is inspired and feels grief. One sentence, in character."
inspired,pride,0.71,celebrate,vfx_aura,bitter,frown,"Write a line of inner monologue for a minion who is inspired and feels pride. One sentence, in character."
inspired,envy,0.68,celebrate,vfx_glow,tender,wide_eyed,"Write a line of inner monologue for a minion who is inspired and feels envy. One sentence, in character."
inspired,wonder,0.74,celebrate,vfx_spark,hollow,wide_eyed,"Write a line of inner monologue for a minion who is inspired and feels wonder. One sentence, in character."
inspired,fear,0.57,celebrate,,fervent,clenched,"Write a line of inner monologue for a minion who is inspired and feels fear. One sentence, in character."
inspired,love,0.69,celebrate,vfx_glow,exultant,frown,"Write a line of inner monologue for a minion who is inspired and feels love. One sentence, in character."
inspired,ambition,0.68,celebrate,vfx_tear,measured,frown,"Write a line of inner monologue for a minion who is inspired and feels ambition. One sentence, in character."
inspired,curiosity,0.73,celebrate,vfx_tear,exultant,downcast,"Write a line of inner monologue for a minion who is inspired and feels curiosity. One sentence, in character."
inspired,despair,0.59,celebrate,,bitter,clenched,"Write a line of inner monologue for a minion who is inspired and feels despair. One sentence, in character."
inspired,awe,0.8,celebrate,vfx_tear,measured,clenched,"Write a line of inner monologue for a minion who is inspired and feels awe. One sentence, in character."
inspired,resolve,0.53,celebrate,vfx_glow,exultant,downcast,"Write a line of inner monologue for a minion who is inspired and feels resolve. One sentence, in character."
inspired,doubt,0.56,celebrate,vfx_spark,measured,downcast,"Write a line of inner monologue for a minion who is inspired and feels doubt. One sentence, in character."
inspired,triumph,0.73,celebrate,vfx_aura,fervent,frown,"Write a line of inner monologue for a minion who is inspired and feels triumph. One sentence, in character."
inspired,longing,0.51,celebrate,,wry,serene,"Write a line of inner monologue for a minion who is inspired and feels longing. One sentence, in character."
content,joy,0.94,idle,vfx_aura,weary,neutral,"Write a line of inner monologue for a minion who is content and feels joy. One sentence, in character."
content,grief,0.72,idle,vfx_tear,tender,neutral,"Write a line of inner monologue for a minion who is content and feels grief. One sentence, in character."
content,pride,0.51,idle,vfx_aura,wry,neutral,"Write a line of inner monologue for a minion who is content and feels pride. One sentence, in character."
content,envy,0.52,idle,vfx_glow,tender,clenched,"Write a line of inner monologue for a minion who is content and feels envy. One sentence, in character."
content,wonder,0.8,idle,vfx_spark,tender,downcast,"Write a line of inner monologue for a minion who is content and feels wonder. One sentence, in character."
content,fear,0.66,idle,,weary,clenched,"Write a line of inner monologue for a minion who is content and feels fear. One sentence, in character."
content,love,0.74,idle,vfx_glow,hollow,downcast,"Write a line of inner monologue for a minion who is content and feels love. One sentence, in character."
content,ambition,0.99,idle,vfx_tear,wry,downcast,"Write a line of inner monologue for a minion who is content and feels ambition. One sentence, in character."
content,curiosity,0.92,idle,vfx_tear,tender,downcast,"Write a line of inner monologue for a minion who is content and feels curiosity. One sentence, in character."
content,despair,0.44,idle,,measured,downcast,"Write a line of inner monologue for a minion who is content and feels despair. One sentence, in character."
content,awe,0.97,idle,vfx_tear,exultant,frown,"Write a line of inner monologue for a minion who is content and feels awe. One sentence, in character."
content,resolve,0.94,idle,vfx_glow,hollow,smile,"Write a line of inner monologue for a minion who is content and feels resolve. One sentence, in character."
content,doubt,0.73,idle,vfx_spark,fervent,smile,"Write a line of inner monologue for a minion who is content and feels doubt. One sentence, in character."
content,triumph,0.75,idle,vfx_aura,wry,serene,"Write a line of inner monologue for a minion who is content and feels triumph. One sentence, in character."
content,longing,0.79,idle,,bitter,frown,"Write a line of inner monologue for a minion who is content and feels longing. One sentence, in character."
bored,joy,0.44,idle,vfx_aura,measured,neutral,"Write a line of inner monologue for a minion who is bored and feels joy. One sentence, in character."
bored,grief,0.48,idle,vfx_tear,tender,frown,"Write a line of inner monologue for a minion who is bored and feels grief. One sentence, in character."
bored,pride,0.61,idle,vfx_aura,exultant,downcast,"Write a line of inner monologue for a minion who is bored and feels pride. One sentence, in character."
bored,envy,0.87,idle,vfx_glow,bitter,frown,"Write a line of inner monologue for a minion who is bored and feels envy. One sentence, in character."
bored,wonder,0.5,idle,vfx_spark,weary,downcast,"Write a line of inner monologue for a minion who is bored and feels wonder. One sentence, in character."
bored,fear,0.81,idle,,exultant,clenched,"Write a line of inner monologue for a minion who is bored and feels fear. One sentence, in character."
bored,love,0.82,idle,vfx_glow,weary,frown,"Write a line of inner monologue for a minion who is bored and feels love. One sentence, in character."
bored,ambition,0.97,idle,vfx_tear,fervent,neutral,"Write a line of inner monologue for a minion who is bored and feels ambition. One sentence, in character."
bored,curiosity,0.75,idle,vfx_tear,bitter,smile,"Write a line of inner monologue for a minion who is bored and feels curiosity. One sentence, in character."
bored,despair,0.68,idle,,tender,neutral,"Write a line of inner monologue for a minion who is bored and feels despair. One sentence, in character."
bored,awe,0.85,idle,vfx_tear,exultant,serene,"Write a line of inner monologue for a minion who is bored and feels awe. One sentence, in character."
bored,resolve,0.93,idle,vfx_glow,exultant,smile,"Write a line of inner monologue for a minion who is bored and feels resolve. One sentence, in character."
bored,doubt,0.5,idle,vfx_spark,hollow,neutral,"Write a line of inner monologue for a minion who is bored and feels doubt. One sentence, in character."
bored,triumph,0.93,idle,vfx_aura,fervent,wide_eyed,"Write a line of inner monologue for a minion who is bored and feels triumph. One sentence, in character."
bored,longing,0.77,idle,,exultant,wide_eyed,"Write a line of inner monologue for a minion who is bored and feels longing. One sentence, in character."
anxious,joy,0.81,rest,vfx_aura,fervent,downcast,"Write a line of inner monologue for a minion who is anxious and feels joy. One sentence, in character."
anxious,grief,0.8,rest,vfx_tear,tender,neutral,"Write a line of inner monologue for a minion who is anxious and feels grief. One sentence, in character."
anxious,pride,0.85,rest,vfx_aura,fervent,downcast,"Write a line of inner monologue for a minion who is anxious and feels pride. One sentence, in character."
anxious,envy,0.42,rest,vfx_glow,hollow,clenched,"Write a line of inner monologue for a minion who is anxious and feels envy. One sentence, in character."
anxious,wonder,0.74,rest,vfx_spark,hollow,neutral,"Write a line of inner monologue for a minion who is anxious and feels wonder. One sentence, in character."
anxious,fear,0.67,rest,,wry,frown,"Write a line of inner monologue for a minion who is anxious and feels fear. One sentence, in character."
anxious,love,0.53,rest,vfx_glow,exultant,downcast,"Write a line of inner monologue for a minion who is anxious and feels love. One sentence, in character."
anxious,ambition,0.87,rest,vfx_tear,wry,wide_eyed,"Write a line of inner monologue for a minion who is anxious and feels ambition. One sentence, in character."
anxious,curiosity,0.53,rest,vfx_tear,fervent,smile,"Write a line of inner monologue for a minion who is anxious and feels curiosity. One sentence, in character."
anxious,despair,0.43,rest,,wry,smile,"Write a line of inner monologue for a minion who is anxious and feels despair. One sentence, in character."
anxious,awe,0.5,rest,vfx_tear,weary,serene,"Write a line of inner monologue for a minion who is anxious and feels awe. One sentence, in character."
anxious,resolve,0.45,rest,vfx_glow,exultant,downcast,"Write a line of inner monologue for a minion who is anxious and feels resolve. One sentence, in character."
anxious,doubt,0.56,rest,vfx_spark,measured,downcast,"Write a line of inner monologue for a minion who is anxious and feels doubt. One sentence, in character."
anxious,triumph,0.69,rest,vfx_aura,fervent,clenched,"Write a line of inner monologue for a minion who is anxious and feels triumph. One sentence, in character."
anxious,longing,0.4,rest,,measured,wide_eyed,"Write a line of inner monologue for a minion who is anxious and feels longing. One sentence, in character."
exhausted,joy,0.62,rest,vfx_aura,weary,wide_eyed,"Write a line of inner monologue for a minion who is exhausted and feels joy. One sentence, in character."
exhausted,grief,0.57,rest,vfx_tear,fervent,neutral,"Write a line of inner monologue for a minion who is exhausted and feels grief. One sentence, in character."
exhausted,pride,0.9,rest,vfx_aura,hollow,wide_eyed,"Write a line of inner monologue for a minion who is exhausted and feels pride. One sentence, in character."
exhausted,envy,0.81,rest,vfx_glow,exultant,smile,"Write a line of inner monologue for a minion who is exhausted and feels envy. One sentence, in character."
exhausted,wonder,0.97,rest,vfx_spark,fervent,clenched,"Write a line of inner monologue for a minion who is exhausted and feels wonder. One sentence, in character."
exhausted,fear,0.55,rest,,wry,serene,"Write a line of inner monologue for a minion who is exhausted and feels fear. One sentence, in character."
