source_id,source_name,official_url,licence,terms_url,robots_url,allowed_methods,disallowed_methods,commercial_use_allowed,redistribution_allowed,OCR_allowed,scraping_allowed,API_allowed,rate_limits,approval_status,reviewer,review_date,expiry_date
SRC001,NOAA NDBC,https://www.ndbc.noaa.gov/,review_required,review_required,review_required_if_web,HTTP text/CSV-like files,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC002,USGS Earthquake FDSN,https://earthquake.usgs.gov/fdsnws/event/1/,review_required,review_required,review_required_if_web,REST/GeoJSON/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC003,NOAA SWPC,https://www.swpc.noaa.gov/products-and-data,review_required,review_required,review_required_if_web,JSON/text/API feeds,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC004,NASA DONKI,https://ccmc.gsfc.nasa.gov/tools/DONKI/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC005,NASA APIs,https://api.nasa.gov/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC006,NASA CMR / Earthdata,https://cmr.earthdata.nasa.gov/search/site/docs/search/api.html,review_required,review_required,review_required_if_web,REST/JSON/UMM,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC007,OpenAQ,https://docs.openaq.org/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC008,Copernicus Data Space,https://dataspace.copernicus.eu/,review_required,review_required,review_required_if_web,APIs/download,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC009,ECMWF Open Data,https://www.ecmwf.int/en/forecasts/access-forecasts/access-archive-datasets,review_required,review_required,review_required_if_web,GRIB/API,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC010,WMO OSCAR/GBON public metadata,https://oscar.wmo.int/,review_required,review_required,review_required_if_web,Portal/API where available,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC011,GDACS,https://www.gdacs.org/,review_required,review_required,review_required_if_web,RSS/XML/JSON where available,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC012,ReliefWeb API,https://apidoc.rwlabs.org/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC013,USGS ScienceBase,https://www.sciencebase.gov/catalog/,review_required,review_required,review_required_if_web,REST/JSON/files,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC014,NOAA NCEI,https://www.ncei.noaa.gov/support/access-data-service-api-user-documentation,review_required,review_required,review_required_if_web,REST/JSON/CSV,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC015,Global Biodiversity Information Facility,https://techdocs.gbif.org/en/openapi/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC016,Protected Planet / WDPA,https://www.protectedplanet.net/en/resources,review_required,review_required,review_required_if_web,Downloads/API depending licence,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC017,OpenStreetMap / Overpass,https://wiki.openstreetmap.org/wiki/Overpass_API,review_required,review_required,review_required_if_web,REST/Overpass QL,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC018,H3 Geospatial Indexing,https://h3geo.org/docs/,review_required,review_required,review_required_if_web,Library/algorithm,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC019,Natural Earth Data,https://www.naturalearthdata.com/,review_required,review_required,review_required_if_web,Downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC020,GADM,https://gadm.org/,review_required,review_required,review_required_if_web,Downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC021,AIS public/official feeds,https://www.iala-aism.org/technical/data-modelling/ais/,review_required,review_required,review_required_if_web,AIS/NMEA/API depending provider,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC022,MarineCadastre AIS,https://marinecadastre.gov/ais/,review_required,review_required,review_required_if_web,Downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC023,NOAA Tides and Currents CO-OPS API,https://api.tidesandcurrents.noaa.gov/api/prod/,review_required,review_required,review_required_if_web,REST/JSON/CSV,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC024,FAA NOTAM Search,https://notams.aim.faa.gov/notamSearch/,review_required,review_required,review_required_if_web,Portal/API depending access,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC025,OpenSky Network API,https://openskynetwork.github.io/opensky-api/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC026,Eurocontrol Network Manager public information,https://www.eurocontrol.int/,review_required,review_required,review_required_if_web,Portal/API depending access,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC027,GTFS Static,https://gtfs.org/schedule/,review_required,review_required,review_required_if_web,Files/ZIP,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC028,GTFS Realtime,https://gtfs.org/documentation/realtime/reference/,review_required,review_required,review_required_if_web,protobuf/HTTP,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC029,OpenRailwayMap,https://www.openrailwaymap.org/,review_required,review_required,review_required_if_web,Tiles/data via OSM,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC030,Bureau of Transportation Statistics,https://www.bts.gov/,review_required,review_required,review_required_if_web,CSV/API/portal,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC031,Wikidata SPARQL,https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service/Documentation,review_required,review_required,review_required_if_web,SPARQL/JSON/RDF,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC032,Wikimedia REST APIs,https://api.wikimedia.org/wiki/Getting_started_with_Wikimedia_APIs,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC033,DBpedia,https://www.dbpedia.org/resources/,review_required,review_required,review_required_if_web,SPARQL/RDF/downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC034,OpenAlex,https://developers.openalex.org/api-reference/introduction,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC035,Crossref REST API,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC036,ORCID Public API,https://info.orcid.org/documentation/api-tutorials/api-tutorial-searching-the-orcid-registry/,review_required,review_required,review_required_if_web,REST/XML/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC037,ROR API,https://ror.readme.io/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC038,Open Library API,https://openlibrary.org/developers/api,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC039,Library of Congress APIs,https://www.loc.gov/apis/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC040,Getty Vocabularies,https://www.getty.edu/research/tools/vocabularies/,review_required,review_required,review_required_if_web,Linked data downloads/API,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC041,World Bank Indicators API,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,review_required,review_required,review_required_if_web,REST/JSON/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC042,IMF Data API,https://datahelp.imf.org/knowledgebase/articles/667681-using-json-restful-web-service,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC043,OECD Data API,https://data-explorer.oecd.org/,review_required,review_required,review_required_if_web,API/SDMX,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC044,UN Data API,https://data.un.org/Host.aspx?Content=API,review_required,review_required,review_required_if_web,API/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC045,Eurostat API,https://ec.europa.eu/eurostat/web/main/data/web-services,review_required,review_required,review_required_if_web,REST/SDMX/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC046,data.europa.eu API,https://data.europa.eu/en/about/api,review_required,review_required,review_required_if_web,REST/DCAT,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC047,CKAN Action API,https://docs.ckan.org/en/2.9/api/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC048,Socrata SODA API,https://dev.socrata.com/,review_required,review_required,review_required_if_web,REST/JSON/CSV,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC049,SEC EDGAR APIs,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC050,GLEIF API,https://documenter.getpostman.com/view/7679680/SVYrrxuU,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC051,OpenCorporates API,https://api.opencorporates.com/documentation/API-Reference,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC052,Companies House API,https://developer.company-information.service.gov.uk/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC053,Australian Business Register lookup,https://abr.business.gov.au/Tools/WebServices,review_required,review_required,review_required_if_web,SOAP/REST-like,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC054,OpenFIGI API,https://www.openfigi.com/api,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC055,FRED API,https://fred.stlouisfed.org/docs/api/fred/,review_required,review_required,review_required_if_web,REST/JSON/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC056,Legislation.gov.uk API,https://www.legislation.gov.uk/developer,review_required,review_required,review_required_if_web,REST/XML/RDF,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC057,Federal Register API,https://www.federalregister.gov/developers/documentation/api/v1,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC058,Congress.gov API,https://api.congress.gov/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC059,CourtListener API,https://www.courtlistener.com/api/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC060,EUR-Lex data,https://eur-lex.europa.eu/content/tools/webservices.html,review_required,review_required,review_required_if_web,Web services/RDF,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC061,UN Treaty Collection,https://treaties.un.org/,review_required,review_required,review_required_if_web,Portal/downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC062,OFAC Sanctions List Service,https://ofac.treasury.gov/sanctions-list-service,review_required,review_required,review_required_if_web,Downloads/API,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC063,UN Security Council Sanctions,https://main.un.org/securitycouncil/en/content/un-sc-consolidated-list,review_required,review_required,review_required_if_web,Downloads,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC064,SAM.gov API,https://open.gsa.gov/api/get-opportunities-public-api/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC065,Open Contracting Data Standard,https://standard.open-contracting.org/,review_required,review_required,review_required_if_web,JSON/schema,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC066,NCBI E-utilities,https://www.ncbi.nlm.nih.gov/books/NBK25501/,review_required,review_required,review_required_if_web,REST/XML/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC067,ClinicalTrials.gov API,https://clinicaltrials.gov/data-api/about-api,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC068,MeSH,https://www.nlm.nih.gov/mesh/meshhome.html,review_required,review_required,review_required_if_web,Downloads/RDF,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC069,WHO Global Health Observatory,https://www.who.int/data/gho/info/gho-odata-api,review_required,review_required,review_required_if_web,OData/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC070,OpenFDA,https://open.fda.gov/apis/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC071,CDC Data API,https://open.cdc.gov/apis.html,review_required,review_required,review_required_if_web,REST/Socrata,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC072,UniProt,https://www.uniprot.org/help/api,review_required,review_required,review_required_if_web,REST/JSON/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC073,Ensembl REST API,https://rest.ensembl.org/,review_required,review_required,review_required_if_web,REST/JSON/XML,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC074,PDB RCSB APIs,https://data.rcsb.org/,review_required,review_required,review_required_if_web,GraphQL/REST,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC075,GBIF Species API,https://techdocs.gbif.org/en/openapi/,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC076,NVD API,https://nvd.nist.gov/developers/vulnerabilities,review_required,review_required,review_required_if_web,REST/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC077,CISA KEV Catalog,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,review_required,review_required,review_required_if_web,CSV/JSON,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC078,MITRE CVE,https://www.cve.org/Downloads,review_required,review_required,review_required_if_web,JSON/CSV,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
SRC079,BGPStream,https://bgpstream.caida.org/,review_required,review_required,review_required_if_web,API/stream/data,credential bypass; private camera scan; private comms intercept; terms-prohibited scraping,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,unknown_until_review,review_required,pending,,,
