score,conf,rob,exc,single,coverage,value,cost,spread
0.01,0.45,0.40,0.20,75.0,83.3,high),rotate),sims)
0.01,0.45,0.40,0.35,73.5,82.5,high),rotate),sims)
0.01,0.45,0.60,0.20,73.4,84.9,high),rotate),sims)
0.01,0.45,0.60,0.35,75.8,85.2,high),rotate),sims)
0.01,0.60,0.40,0.20,74.4,82.1,high),rotate),sims)
0.01,0.60,0.40,0.35,74.6,83.7,high),rotate),sims)
0.01,0.60,0.60,0.20,74.4,86.8,high),rotate),sims)
0.01,0.60,0.60,0.35,75.7,85.9,high),rotate),sims)
0.03,0.45,0.40,0.20,76.0,88.7,high),rotate),sims)
0.03,0.45,0.40,0.35,75.5,86.8,high),rotate),sims)
0.03,0.45,0.60,0.20,74.8,87.8,high),rotate),sims)
0.03,0.45,0.60,0.35,73.9,87.0,high),rotate),sims)
0.03,0.60,0.40,0.20,75.7,89.1,high),rotate),sims)
0.03,0.60,0.40,0.35,75.3,88.1,high),rotate),sims)
0.03,0.60,0.60,0.20,74.1,87.9,high),rotate),sims)
0.03,0.60,0.60,0.35,72.8,87.6,high),rotate),sims)
