url,file,category,role,era,biome,scale,footprint_w,footprint_d,height_m,lod0_m,lod1_m,lod2_m,cull_m,instancing,collision,walkable,interactable,light_emit,light_color,shadow_cast,density_weight,skinned,animated,nodes,materials,sound_ambient,sound_interact,vfx_idle,vfx_active,material_tier,placement_zone,snap_grid,rotation_rule
/models/RobotExpressive.glb,RobotExpressive.glb,character,primary,stone,plains,0.94,1.09,1.09,1.8,43,130,327,981,0,1,1,1,0,,1,0.0,1,1,74,3,amb_world,,,,standard,district,0,free
/models/Xbot.glb,Xbot.glb,character,filler,bronze,wetland,1.01,0.86,1.09,1.8,43,130,327,981,0,1,1,1,0,,1,0.0,1,1,70,2,amb_world,,,,pbr,district,0,free
/models/Michelle.glb,Michelle.glb,character,accent,medieval,forest,1.04,0.89,1.02,1.8,40,122,306,918,0,1,1,1,0,,1,0.0,1,1,67,1,amb_world,,,,pbr,district,0,free
/models/hero/underworld_logo.glb,underworld_logo.glb,tree,primary,modern,plains,1.02,2.91,3.12,8.0,124,374,936,2808,1,1,0,0,0,,1,1.0,0,0,1,1,amb_leaves,,vfx_leaf_drift,,standard,wilderness,0,free
/models/hero/underworld_hero.glb,underworld_hero.glb,prop,accent,bronze,plains,1.08,1.03,0.97,1.2,41,123,309,927,1,1,0,1,0,,1,0.7,0,0,89,1,amb_world,,,,standard,district,0,free
/models/kenney/castle-kit/tower-square-top-color.glb,tower-square-top-color.glb,tower,primary,iron,mountain,1.128,7.92,7.28,18.0,316,950,2376,7128,0,1,1,1,1,#ffd9a0,1,0.3,0,0,1,1,amb_wind_high,sfx_door_heavy,,vfx_beacon,pbr_hero,civic,0,free
/models/kenney/castle-kit/tower-square-mid-windows.glb,tower-square-mid-windows.glb,tower,filler,future,tundra,1.116,8.64,8.64,18.0,345,1036,2592,7776,0,1,1,1,1,#ffd9a0,1,0.3,0,0,1,1,amb_wind_high,sfx_door_heavy,,vfx_beacon,pbr_hero,civic,0,free
/models/kenney/castle-kit/tower-square-roof.glb,tower-square-roof.glb,tower,filler,modern,coast,1.116,7.04,7.36,18.0,294,883,2208,6624,0,1,1,1,1,#ffd9a0,1,0.3,0,0,1,1,amb_wind_high,sfx_door_heavy,,vfx_beacon,standard,civic,0,free
/models/kenney/castle-kit/siege-tower.glb,siege-tower.glb,vehicle,primary,bronze,tundra,1.06,3.64,1.74,2.5,145,436,1092,3276,1,1,0,1,1,#ffd9a0,1,0.4,0,0,5,1,amb_cart,sfx_wheel,,,pbr,road,0,free
/models/kenney/castle-kit/bridge-straight-pillar.glb,bridge-straight-pillar.glb,bridge,accent,medieval,mountain,1.0,10.5,3.52,2.0,420,1260,3150,9450,0,1,1,0,0,,1,0.0,0,0,1,1,amb_world,,,,standard,district,0,free
/models/kenney/castle-kit/stairs-stone-square.glb,stairs-stone-square.glb,stairs,secondary,industrial,forest,1.07,3.36,2.76,2.0,134,403,1008,3024,0,1,1,0,0,,1,0.2,0,0,1,1,amb_world,,,,pbr_hero,district,0,free
/models/kenney/castle-kit/wall-narrow.glb,wall-narrow.glb,wall,secondary,future,desert,0.91,6.36,1.08,4.0,254,763,1908,5724,0,1,0,0,0,,1,0.0,0,0,1,1,amb_world,,,,standard,rampart,1,tangent
