source,url,basis
CKAN Action API,https://docs.ckan.org/en/2.9/api/,Open data catalogue API pattern; exposes CKAN core features programmatically.
Socrata SODA API,https://dev.socrata.com/,"Programmatic access to open data resources from governments, nonprofits and NGOs."
NASA Open APIs,https://api.nasa.gov/,NASA public APIs including DONKI and NEO style space data access.
NOAA Weather API,https://www.weather.gov/documentation/services-web-api,"Latest forecasts, alerts, observations and other weather data."
NOAA Open Data Dissemination Program,https://www.noaa.gov/nodd/datasets,"Hundreds of NOAA datasets on cloud platforms, organised by line office and program area."
SEC EDGAR,https://www.sec.gov/search-filings,Free public access to millions of company filings and informational documents.
OpenSanctions,https://www.opensanctions.org/,"Open-source database of sanctions, watchlists and PEPs aggregating hundreds of sources."
OpenCorporates,https://opencorporates.com/,Legal-entity data from over 140 jurisdictions and official registries.
Copernicus Data Space,https://dataspace.copernicus.eu/,Open access to Copernicus Sentinel data and processing/access services.
DCAT v3,https://www.w3.org/TR/vocab-dcat-3/,W3C vocabulary for describing datasets and data services in catalogues.
Neo4j Vector Indexes,https://neo4j.com/docs/cypher-manual/current/indexes/semantic-indexes/vector-indexes/,Graph + vector search patterns for vector-indexed knowledge graph retrieval.
Qdrant GraphRAG with Neo4j,https://qdrant.tech/documentation/examples/graphrag-qdrant-neo4j/,Example pattern combining vector search and graph context for GraphRAG.
