component,purpose,props,states
GlobalTopBar,"plane status, current environment, search, user/policy indicator","activePlane, environment, policyState, onSearch","normal, degraded, offline"
PlaneSwitcher,switch Foundry/Gotham/Apollo/AIP without losing workspace state,"activePlane, availablePlanes, onChange","active, disabled_by_policy"
JarvisPrompt,operator natural language command entry with constrained actions,"activePlane, selectedObject, allowedTools","idle, streaming, awaiting_approval, blocked"
EvidenceBackedGraph,typed node/edge visualisation with no random lines,"nodes, edges, policyContext","loading, ready, empty, policy_filtered, error"
EntityDetailDrawer,"object profile, properties, links, provenance and actions","objectId, objectType","loading, loaded, not_found, denied"
DataGridPro,virtualised high-density tables with filters and row actions,"columns, dataSource, primaryKey, rowActions","loading, empty, error, ready"
TimelineReplay,decision and event replay,"objectId, timeRange, eventTypes","loading, playing, paused, empty"
ActionApprovalPanel,"review action proposal, impact, policy and approval",actionExecutionId,"pending, approved, rejected, blocked"
ApolloRolloutBoard,desired/current/drift and rollout controls,"environmentId, serviceId","healthy, degraded, paused, rollback_required"
MapLayerControl,toggle geospatial layers by source/object/policy,"layers, activeLayers, policyContext","ready, loading, denied"
