source_id,source_name,url,description,access_method,auth,domain_use
SRC001,NOAA NDBC,https://www.ndbc.noaa.gov/,Ocean buoy and coastal station meteorological/oceanographic observations,HTTP text/CSV-like files,No key,"Weather, ocean, buoys, maritime risk"
SRC002,USGS Earthquake FDSN,https://earthquake.usgs.gov/fdsnws/event/1/,Earthquake catalogue API using FDSN event web-service patterns,REST/GeoJSON/XML,No key,"Earthquakes, seismic events, hazards"
SRC003,NOAA SWPC,https://www.swpc.noaa.gov/products-and-data,"Space weather alerts, watches, warnings, solar wind, geomagnetic indices",JSON/text/API feeds,No key,"Space weather, radio blackout, solar radiation"
SRC004,NASA DONKI,https://ccmc.gsfc.nasa.gov/tools/DONKI/,"Solar flares, CME, SEP, geomagnetic storms and model outputs",REST/JSON,NASA API key for api.nasa.gov routes,Space weather event intelligence
SRC005,NASA APIs,https://api.nasa.gov/,NASA public APIs including DONKI/NEO/imagery endpoints,REST/JSON,API key,"NEO, astronomy, imagery, space events"
SRC006,NASA CMR / Earthdata,https://cmr.earthdata.nasa.gov/search/site/docs/search/api.html,Earth observation dataset discovery and metadata,REST/JSON/UMM,Earthdata depending endpoint,Satellite/EO catalogue
SRC007,OpenAQ,https://docs.openaq.org/,"Global air quality measurements, locations and sensors",REST/JSON,API key/terms as published,"Air quality, ppm/ppb pollutants"
SRC008,Copernicus Data Space,https://dataspace.copernicus.eu/,Sentinel and Copernicus earth observation datasets,APIs/download,Account depending product,"Satellite imagery, environment, land/ocean"
SRC009,ECMWF Open Data,https://www.ecmwf.int/en/forecasts/access-forecasts/access-archive-datasets,Weather forecast model outputs and archives,GRIB/API,Account depending dataset,Weather forecasts and climate models
SRC010,WMO OSCAR/GBON public metadata,https://oscar.wmo.int/,Meteorological observing systems and station metadata,Portal/API where available,Public/registration depending,Weather station registry
SRC011,GDACS,https://www.gdacs.org/,Global disaster alerts and coordination information,RSS/XML/JSON where available,No key,"Earthquake, cyclone, flood, tsunami impact alerts"
SRC012,ReliefWeb API,https://apidoc.rwlabs.org/,"Humanitarian reports, disasters and situation updates",REST/JSON,No key,"Humanitarian crisis, disaster response"
SRC013,USGS ScienceBase,https://www.sciencebase.gov/catalog/,Scientific datasets and geospatial products,REST/JSON/files,No key,"Geology, hazards, science datasets"
SRC014,NOAA NCEI,https://www.ncei.noaa.gov/support/access-data-service-api-user-documentation,Climate and environmental data access service,REST/JSON/CSV,No key,"Climate, weather, ocean historical archive"
SRC015,Global Biodiversity Information Facility,https://techdocs.gbif.org/en/openapi/,Species occurrence and biodiversity data,REST/JSON,No key,Biodiversity and species ontology
SRC016,Protected Planet / WDPA,https://www.protectedplanet.net/en/resources,Protected area datasets,Downloads/API depending licence,Terms apply,Conservation/protected areas
SRC017,OpenStreetMap / Overpass,https://wiki.openstreetmap.org/wiki/Overpass_API,"Map features, infrastructure, POIs, roads, boundaries",REST/Overpass QL,Fair use,Geospatial base map and POI graph
SRC018,H3 Geospatial Indexing,https://h3geo.org/docs/,Hexagonal spatial indexing system,Library/algorithm,Open source,Spatial aggregation and neural geocells
SRC019,Natural Earth Data,https://www.naturalearthdata.com/,Public domain cultural/physical GIS layers,Downloads,No key,Base world geography
SRC020,GADM,https://gadm.org/,Administrative boundary data,Downloads,Terms apply,Administrative geography
SRC021,AIS public/official feeds,https://www.iala-aism.org/technical/data-modelling/ais/,Vessel position data where lawfully licensed or public,AIS/NMEA/API depending provider,Licence/official feed,Maritime awareness
SRC022,MarineCadastre AIS,https://marinecadastre.gov/ais/,US AIS-derived maritime datasets,Downloads,No key,"Historical AIS, vessel movement"
SRC023,NOAA Tides and Currents CO-OPS API,https://api.tidesandcurrents.noaa.gov/api/prod/,"Tides, water levels, currents, meteorological observations",REST/JSON/CSV,No key,"Ports, wharves, coastal operations"
SRC024,FAA NOTAM Search,https://notams.aim.faa.gov/notamSearch/,Aeronautical notices for US aviation,Portal/API depending access,Terms apply,Aviation restriction awareness
SRC025,OpenSky Network API,https://openskynetwork.github.io/opensky-api/,Aircraft state vectors and aviation data,REST/JSON,Auth recommended/rate limits,Aviation awareness
SRC026,Eurocontrol Network Manager public information,https://www.eurocontrol.int/,European air traffic and network information,Portal/API depending access,Terms apply,Airspace operations
