id,category,asset_name,target_panel_or_use,status,provider,must_contain_baked_text,deliverable,notes
IMG-001,background,Cinematic dark command-room background,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-002,background,Deep neural grid background,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-003,background,Holographic world map overlay,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-004,background,Subtle circuit-board texture,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-005,background,HDR nebula/noise gradient,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-006,background,Glass distortion mask,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-007,background,Soft volumetric fog layer,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-008,background,Particle dust sprite sheet,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-009,background,Aurora blue/cyan gradient,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-010,background,Low-noise dark tileable backdrop,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-011,panel_texture,Command bar glass texture,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-012,panel_texture,KPI strip tile texture,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-013,panel_texture,Inference Fabric panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-014,panel_texture,Infrastructure panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-015,panel_texture,Automation Pipelines panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-016,panel_texture,Cross-Correlation panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-017,panel_texture,Knowledge Graph panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-018,panel_texture,Claude Coding Workspace skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-019,panel_texture,Voice Alerts panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-020,panel_texture,Asset Forge drawer skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
IMG-021,panel_texture,Settings/admin panel skin,global / asset library,required,gpt-image-2,false,png/webp + prompt + seed metadata,
