neuron_type_id,neuron_type,purpose,storage_pattern,not_biological_claim
NT01,SensorNeuron,"live measurements, telemetry, alerts and event feeds",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT02,RegistryNeuron,"entity catalogues, official registries, identifiers and master data",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT03,DocumentNeuron,"reports, PDFs, manuals, regulations, filings and OCR outputs",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT04,GeoNeuron,"coordinates, boundaries, parcels, routes, movement and spatial joins",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT05,TemporalNeuron,"historical archive, time-series, trend, seasonality and time travel",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT06,EntityNeuron,"people, organisations, assets, places, events and identity-resolution clusters",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT07,RiskNeuron,"hazards, compliance obligations, vulnerabilities, sanctions and risk scores",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT08,WorkflowNeuron,"cases, approvals, tasks, dispatch, investigations and operational process state",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT09,ActionNeuron,"governed verbs, writebacks, notifications, remediation and deployment actions",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT10,AuditNeuron,"lineage, provenance, policy decisions, user actions, model traces and replay evidence",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT11,ModelNeuron,"forecasts, anomaly detection, simulation, classification and recommendations",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
NT12,KnowledgeNeuron,"encyclopaedic facts, scientific literature, standards and authority graphs",vector embedding + graph node + PostgreSQL metadata + audit evidence,"Engineering metaphor for memory/feature nodes, not a literal biological neuron."
