interaction,verb,mood,science,effects,anim_a,anim_b,llm_prompt
mentor,teaches,flow,acoustics,"knowledge+,bond+",talk,talk,"Two minions in the acoustics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,aerodynamics,"knowledge+,bond+",talk,talk,"Two minions in the aerodynamics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,agronomy,"knowledge+,bond+",talk,talk,"Two minions in the agronomy guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,astronomy,"knowledge+,bond+",talk,talk,"Two minions in the astronomy guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,atmoschem,"knowledge+,bond+",talk,talk,"Two minions in the atmoschem guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,biology,"knowledge+,bond+",talk,talk,"Two minions in the biology guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,biomechanics,"knowledge+,bond+",talk,talk,"Two minions in the biomechanics guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,chemistry,"knowledge+,bond+",talk,talk,"Two minions in the chemistry guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,combustion,"knowledge+,bond+",talk,talk,"Two minions in the combustion guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,control,"knowledge+,bond+",talk,talk,"Two minions in the control guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,crypto,"knowledge+,bond+",talk,talk,"Two minions in the crypto guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,crystallography,"knowledge+,bond+",talk,talk,"Two minions in the crystallography guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
mentor,teaches,flow,cs_ai,"knowledge+,bond+",talk,talk,"Two minions in the cs_ai guild: A ({name_a}, flow) teaches B ({name_b}). Write their exchange — 2 short lines of dialogue, true to their bond and the science."
